Level,EXP,Get_EXP
1,15,5
2,49,6
3,106,7
4,198,8
5,333,10
6,705,20
7,"1,265",30
8,"2,105",40
9,"3,347",50
10,"4,589",50
11,"5,831",50
12,"7,073",50
13,"8,315",50
14,"9,557",50
15,"11,047",60
16,"12,835",70
17,"14,980",80
18,"17,554",90
19,"20,642",100
20,"24,347",110
21,"28,793",120
22,"34,128",130
23,"40,530",140
24,"48,212",150
25,"57,430",160
26,"68,491",170
27,"81,764",180
28,"97,691",190
29,"116,803",200
30,"135,915",200
31,"155,027",200
32,"174,139",200
33,"193,251",200
34,"212,363",200
35,"235,297",200
36,"262,817",200
37,"295,841",250
38,"335,469",250
39,"383,022",250
40,"434,379",300
41,"489,844",300
42,"549,746",300
43,"614,440",300
44,"684,309",300
45,"759,767",350
46,"841,261",350
47,"929,274",350
48,"1,024,328",350
49,"1,126,986",350
50,"1,237,856",350
51,"1,357,595",400
52,"1,486,913",400
53,"1,626,576",400
54,"1,777,412",400
55,"1,940,314",400
56,"2,116,248",400
57,"2,306,256",420
58,"2,511,464",430
59,"2,733,088",440
60,"2,954,712",440
61,"3,176,336",450
62,"3,397,960",450
63,"3,619,584",450
64,"3,841,208",450
65,"4,079,453",450
66,"4,335,566",470
67,"4,610,887",470
68,"4,906,857",480
69,"5,225,024",480
70,"5,567,053",480
71,"5,934,734",490
72,"6,329,991",490
73,"6,754,892",500
74,"7,211,660",500
75,"7,700,401",510
76,"8,223,353",510
77,"8,782,911",520
78,"9,381,638",520
79,"10,022,275",530
80,"10,707,756",530
81,"11,441,220",540
82,"12,226,026",540
83,"13,065,768",550
84,"13,964,291",550
85,"14,925,710",560
86,"15,954,428",560
87,"17,055,156",570
88,"18,232,934",570
89,"19,493,156",580
90,"20,835,292",580
91,"22,264,666",590
92,"23,786,949",590
93,"25,408,180",600
94,"27,134,791",600
95,"28,973,631",600
96,"30,931,995",610
97,"33,017,652",610
98,"35,238,876",620
99,"37,604,479",630